	Number	lat	long	country
University of Innsbruck	1	47.26335419999999	11.3838006	Austria
University of Louisiana At Monroe	1	32.5309807	-92.068731	United States
University E Anglia	2	52.6219215	1.2391761	United Kingdom
Princeton University	15	40.3439888	-74.6514481	United States
University Helsinki	5	60.1726348	24.9510419	Finland
University of New Mexico	5	35.0843187	-106.6197812	United States
University Sydney	5	-33.888584	151.1873473	Australia
Nanjing Agr University	1	32.0377214	118.8462874	China
University Munich	4	48.150806	11.58043	Germany
University of Pittsburgh Medical Center Upmc	1	40.4425937	-79.961006	United States
University Calif Riverside	2	33.9737055	-117.3280644	United States
University Calif Santa Barbara	4	34.4139629	-119.848947	United States
University of Liverpool	5	53.405936	-2.9655722	United Kingdom
University Nacional De Educación A Distancia	1	40.4380788	-3.7037157	Spain
Aston University	3	52.4869104	-1.8878984	United Kingdom
University Autonoma Barcelona	3	41.5014238	2.1026845	Spain
Netherlands Leiden University	1	52.1571485	4.485209	Netherlands
University Nice	2	43.7169034	7.266587400000001	France
University of Newcastle	1	-32.8927718	151.7041775	Australia
Stephen F Austin State Universityersitytx	7	31.6219236	-94.6462581	United States
Faculty of World Economy And International Affairs State University	1	42.350477	-71.098905	United States
St Bonaventure University	1	42.0784113	-78.48288219999999	United States
University Las Palmas Gran Canaria	2	28.0990409	-15.4198576	Spain
University De Buenos Aires	1	-34.5998875	-58.37306949999999	Argentina
National Tsing Hua University	1	24.7947253	120.9932316	Taiwan
University of Angers And Sorbonne Nouvelle	2	48.83979619999999	2.3538807	France
University of Rome 3	2	41.862585	12.479095	Italy
University of Surrey	1	51.2421839	-0.5905421	United Kingdom
Romanianamerican University	1	44.4735424	26.0656321	Romania
Goetheuniversityersität	1			
Natl Chung Hsing University	1	24.123552	120.675326	Taiwan
University of Madeira	1	32.6499611	-16.9094077	Portugal
University Halle Wittenberg	1	51.4861319	11.9695315	Germany
Grand Valley State University	1	42.9639355	-85.8889465	United States
Northwestern University	17	42.0564594	-87.67526699999999	United States
Saint Louis University	1	38.6354598	-90.23382319999999	United States
University of Fribourg	2	46.806357	7.152006	Switzerland
University of Bielefeld	2	52.0378003	8.4947571	Germany
University Coll Dublin	8	53.3053439	-6.220654	Ireland
University Square	2	40.5703193	-105.0774519	United States
Universityersità Di Bologna	1	44.4964362	11.3484037	Italy
University Bari	1	41.1205546	16.8684745	Italy
University Delaware	5	39.6779504	-75.7506114	United States
Aberystwyth University	9	52.4182818	-4.063887	United Kingdom
University Exeter	10	50.7371369	-3.5351475	United Kingdom
Vaxjo University	1	56.8556518	14.8285337	Sweden
University Pisa	3	43.7167235	10.3988593	Italy
Spanish Open University Uned	1	40.4380788	-3.7037157	Spain
West Virginia University	2	39.6361396	-79.95593579999999	United States
Aarhus University	8	56.1681384	10.2030118	Denmark
University De Chile	1	-33.4445204	-70.6509277	Chile
International Islamic University Malaysia	2	3.2513186	101.7362005	Malaysia
University of Leipzig	1	51.3385738	12.3784615	Germany
Natl Taiwan Ocean University	1	25.1508552	121.7726863	Taiwan
University of Winchester	2	51.059422	-1.325991	United Kingdom
American University Washington College of Law	1	38.9459381	-77.0797994	United States
Parma University	1	41.3818257	-81.7314371	United States
Universityersität Zu Köln	2			
Universityersité De Savoie	1			
University Nice Sophia Antipolis	8	43.7169034	7.266587400000001	France
Bucharest University Econ Studies	1	44.4475513	26.0967866	Romania
Bangor University	3	53.2295205	-4.1299873	United Kingdom
University Tampere	3	61.49374479999999	23.7787354	Finland
State University of New York	7	41.7390054	-74.0851655	United States
Johns Hopkins University	38	39.3299013	-76.6205177	United States
Macau The Hong Kong Polytechnic University	1	22.1935418	113.5518421	Macau
University of Ghent	2	51.0465619	3.727918099999999	Belgium
University of Berne	4	46.9504896	7.438119	Switzerland
St Louis University	1	38.6354598	-90.23382319999999	United States
Bioterra University	1	44.4991089	26.0649128	Romania
University Autonoma Madrid	8	40.5466983	-3.6943619	Spain
Med University Innsbruck	1	47.2626944	11.3849579	Austria
Royal University For Women	1	26.101492	50.551438	Bahrain
George Washington University Competition Law Center	2	38.8990984	-77.0451293	United States
Domaine Universityersitaire	1			
University of Augsburg	3	48.3322469	10.8960759	Germany
Free University Berlin	11	52.4525264	13.2896787	Germany
Rmit University	2	-37.80792	144.9645015	Australia
Carl Von Ossietzky University Oldenburg	1	53.1488817	8.1819471	Germany
Brussels Free University	1	50.8132068	4.3822222	Belgium
University De Los Andes	1	4.6014855	-74.06644570000002	Colombia
Switzerland University Bern	1	46.9504896	7.438119	Switzerland
University Utah	2	40.7649368	-111.8421021	United States
University Lincolnshire	1	39.807212	-75.9273377	United States
University of The West of Scotland	1	55.780579	-4.048151	United Kingdom
University Bergen	2	60.3878586	5.3217549	Norway
University Trento	1	46.0667967	11.1231165	Italy
University of Lisbon	3	38.7526578	-9.158244999999999	Portugal
Spain Oregon State University	1	44.5637806	-123.2794443	United States
National Taiwan Ocean University	2	25.1508552	121.7726863	Taiwan
University of Applied Sciences	1	43.660131	-79.3959928	Canada
University Swansea	1	51.6106075	-3.9763939	United Kingdom
Urban Studies At Universityersité Paris Ouest Nanterre La Défense	1	48.90339900000001	2.211274	France
University Ljubljana	2	46.0491938	14.5041552	Slovenia
Keio University	1	35.6489643	139.7429376	Japan
University of South Florida	6	28.0587031	-82.41385389999999	United States
The State University of New Jersey	1	40.4981958	-74.44679579999999	United States
Goethe University Frankfurt	4	50.1270675	8.6677635	Germany
University Piemonte Orientale	1	45.3276034	8.4244182	Italy
University of Tennessee At Chattanooga	1	35.0464068	-85.2944703	United States
University of Cape Town	1	-33.957652	18.4611991	South Africa
Canterbury Christ Church University	3	51.277939	1.090659	United Kingdom
Amer University Paris	1	48.8593229	2.3038928	France
Lorraine University	1	48.6962743	6.1764664	France
University Seychelles	1	-4.7403938	55.5153753	Seychelles
Bowling Green State University	3	41.3797788	-83.6300826	United States
Norwich University Arts	1	52.63031179999999	1.2966966	United Kingdom
University Utrecht	1	52.0901527	5.1226018	Netherlands
Mcgill University	19	45.50478469999999	-73.5771511	Canada
University De Castillala Mancha	2	38.99404390000001	-3.9204979	Spain
University of Leeds	13	53.8066815	-1.5550328	United Kingdom
De Monfort University	1	52.62978	-1.13937	United Kingdom
University College Cork	11	51.89210989999999	-8.493273700000001	Ireland
Natl University Ireland University Coll Cork	2	51.89210989999999	-8.493273700000001	Ireland
University Malaga	1	36.7199506	-4.4160927	Spain
University of Leiden	3	52.1571485	4.485209	Netherlands
University De Granada	5	37.1846223	-3.6006329	Spain
Aristotle University of Thessaloniki	2	40.6308283	22.9592224	Greece
University of Southern Maine	1	43.6622484	-70.2756936	United States
Johns Hopkins Universityersitys School of Advanced International Studies	1	38.90813	-77.040279	United States
Loyola University Maryland	1	39.3476737	-76.6172375	United States
Poznan University Tech	1	52.3943066	16.9181951	Poland
University Illinois At Urbanachampaign	1	40.1019523	-88.2271615	United States
University of Barcelona	3	41.386608	2.16402	Spain
Valdosta State University	2	30.84911499999999	-83.289214	United States
Harvard University	45	42.3770029	-71.11666009999999	United States
Radboud University	1	51.8193148	5.8568877	Netherlands
University of Denver	3	39.6766174	-104.9618965	United States
University Santiago Compostela	1	42.8885225	-8.5449726	Spain
University of Aberdeen	5	57.16475999999999	-2.1015257	United Kingdom
Heinrichheineuniversityersity Düsseldorf	1	51.19242939999999	6.7936814	Germany
University of Massachusettsamherst	1	42.3911569	-72.5267121	United States
New Mexico State University	1	32.2787745	-106.7479059	United States
University Victoria	4	48.4634067	-123.3116935	Canada
University of Bradford	1	53.791435	-1.7661746	United Kingdom
University Pittsburgh	10	40.4443533	-79.960835	United States
Macquarie University And Vu University Amsterdam	1			
University of Valencia	3	39.4793254	-0.3593863	Spain
Old Dominion University	6	36.8856104	-76.3067777	United States
Carnegie Mellon University	6	40.4428081	-79.94301279999999	United States
Ca 90406 Usa Georgetown University	1	34.068921	-118.4451811	United States
University of Illinois At Springfield Usa	1	39.7290207	-89.61765400000002	United States
Jacobs University	4	53.16771689999999	8.6542654	Germany
University of Louisiana	4	30.2114404	-92.0204121	United States
University of Wisconsin Whitewater	1	42.83740280000001	-88.7440609	United States
Arkansas State University	1	35.8430861	-90.67485889999999	United States
University Bristol	7	51.4584172	-2.6029792	United Kingdom
University of Nebraskalincoln	5	40.8201966	-96.70047629999999	United States
University of Northern British Columbia	9	53.8922014	-122.8133546	Canada
University of Padua	4	45.406766	11.8774462	Italy
University Antwerp	3	51.2228097	4.4102318	Belgium
Lakehead Universityersityon	1	44.5925796	-79.4590889	Canada
Pace University	3	40.7111197	-74.00485669999999	United States
Western Washington University	2	48.7342883	-122.4866109	United States
University of Tennessee	2	35.9544013	-83.92945639999999	United States
University Hohenheim	2	48.71115959999999	9.2123935	Germany
University W Indies	1	18.0060132	-76.7471032	Jamaica
Leibniz University	1	52.3829641	9.7196989	Germany
University Guelph	3	43.5320995	-80.2268613	Canada
Calif Polytech State University San Luis Obispo	1	35.3050053	-120.6624942	United States
Ruprechtkarls University Heidelberg	2	49.4191402	8.670249199999999	Germany
Mendel University In Brno	1	49.2098917	16.6161905	Czechia
University British Columbia	6	49.26060520000001	-123.2459938	Canada
Iowa State University	7	42.0266187	-93.6464654	United States
University Lorraine	1	48.6962743	6.1764664	France
Stony Brook University	3	40.9123761	-73.1233889	United States
Xavier University	2	39.1493644	-84.4745119	United States
Loyola University New Orleans	2	29.935716	-90.12037819999999	United States
Mexico University of Exeter	2	19.3447476	-99.1996561	Mexico
Oxford Brookes University	17	51.755011	-1.224225	United Kingdom
Trinity University	2	29.4618444	-98.4831622	United States
University College	2	43.04245969999999	-76.1347681	United States
University Neuchatel	1	46.9938549	6.9387031	Switzerland
Brandeis University	6	42.364989	-71.258663	United States
Monash University	7	-37.9105238	145.1362182	Australia
University Durham	9	54.7649859	-1.5782029	United Kingdom
University Cambridge Emmanuel Coll	1	52.20356899999999	0.123596	United Kingdom
University Vienna	5	48.21318549999999	16.3600504	Austria
University of British Columbiaokanaga	2	49.93982	-119.396764	Canada
University Babes Bolyai	2	46.7677955	23.5912762	Romania
University Birmingham	6	52.4508168	-1.9305135	United Kingdom
University of Idaho	4	46.7288124	-117.0126084	United States
University of Cambridge	16	52.2042666	0.1149085	United Kingdom
National Chung Hsing University	1	24.123552	120.675326	Taiwan
University Santiago De Compostela	3	42.8885225	-8.5449726	Spain
University Cent Florida	5	28.6024274	-81.2000599	United States
Rice University American University	1	29.7173941	-95.40183119999999	United States
University Greifswald	1	54.095094	13.3746059	Germany
Fairleigh Dickinson University	4	40.8977928	-74.030864	United States
Tu Dortmund University	4	51.4926981	7.412838600000001	Germany
United Kingdom Australian National University	1	-35.2776999	149.118527	Australia
Mendel University Brno	1	49.2098917	16.6161905	Czechia
University West England	1	51.5001344	-2.5475301	United Kingdom
University Virginia	6	38.0335529	-78.5079772	United States
University Chile	2	-33.4445204	-70.6509277	Chile
Kings University	1	32.9390797	-97.12149579999999	United States
University Paris 05	1	48.8484556	2.3432774	France
Portland State University	3	45.511833	-122.6842319	United States
Alpen Adria University Klagenfurt	1	46.616079	14.2652899	Austria
University of North Carolina At Chapel Hill	10	35.9049122	-79.0469134	United States
Ohio State University Newark	1	40.068706	-82.44688	United States
Trinity Western University	1	49.1406699	-122.6020304	Canada
Northumbria University	14	54.9768729	-1.6077272	United Kingdom
University of Bucharest	3	44.435458	26.1012481	Romania
Tomsk State University	2	56.4694917	84.9478675	Russia
University Vermont	2	44.4778528	-73.1964637	United States
University of Hertfordshire	3	51.7617561	-0.2467997	United Kingdom
University Nacional De Misiones Unam	1	-27.4347506	-55.8877442	Argentina
University Plymouth	2	50.37590609999999	-4.1395777	United Kingdom
University of Vermont	3	44.4778528	-73.1964637	United States
Truman State University	1	40.1858573	-92.58137239999999	United States
University of Glamorgan	1	51.5894816	-3.3275381	United Kingdom
Political Science Yale University	1	41.3143962	-72.9243248	United States
Brighamyoung University	1	40.2518435	-111.6493156	United States
E Tennessee State University	1	36.3025374	-82.3701933	United States
Seoul Natl University	2	37.459882	126.9519053	South Korea
Cleveland State University	4	41.50249729999999	-81.6747185	United States
Universityersité Sainteanne	1			
University Santo Tomas	1	14.6096767	120.9896407	Philippines
University Texas Med Branch	1	29.3110199	-94.7777698	United States
Robert Gordon University	1	57.1184161	-2.1410221	United Kingdom
Paris Est Créteil University	1	48.7881698	2.4440992	France
University of Central Lancashire	8	53.7645034	-2.7083505	United Kingdom
University of Eastern Finland	1	62.89555900000001	27.641009	Finland
University Saarland	1	49.2550284	7.040975	Germany
Cardiff University	9	51.48662710000001	-3.1788641	United Kingdom
University of Zimbabwe	2	-17.784983	31.054561	Zimbabwe
Trencin University Alexander Dubcek Trencin	1	48.898708	18.047361	Slovakia
University of The Saarland	1	49.2550284	7.040975	Germany
Trent University	1	44.3571304	-78.290363	Canada
Duquesne University	4	40.4372949	-79.9901728	United States
Boston University	18	42.3504997	-71.1053991	United States
University Aberdeen	3	57.16475999999999	-2.1015257	United Kingdom
University Swaziland	1	-26.4790864	31.3068429	Swaziland
University of Kansas	2	38.9543439	-95.2557961	United States
Lock Haven University Pennsylvania	1	41.1423205	-77.4621475	United States
University of Mary Washingtonva	1	38.3021703	-77.4742587	United States
Regent University	2	36.801329	-76.1922416	United States
University of Wales	2	51.4854318	-3.1813842	United Kingdom
United States Columbia University	1	40.8075355	-73.9625727	United States
Birmingham City University	3	52.4828098	-1.885094	United Kingdom
University of Houston	2	29.7199489	-95.3422334	United States
Dc 20036 Usa Georgetown University	1	38.9076089	-77.07225849999999	United States
Goetheuniversityersity Frankfurt	1	50.1270675	8.6677635	Germany
Austria Salzburg University	1	47.797324	13.04817	Austria
Germany Free University Berlin	1	52.4525264	13.2896787	Germany
Graduate Center of The City University	1	40.748449	-73.9834916	United States
University Hong Kong	1	22.2829989	114.1370848	Hong Kong
Tsinghua University	1	39.9996674	116.3264439	China
University Missouri St Louis	2	38.7092401	-90.30828	United States
University of Bath	1	51.3781162	-2.3272635	United Kingdom
Ludwig Maximilians University Munchen	1	48.150806	11.58043	Germany
Westernorth Carolina University	1	35.3089224	-83.18437809999999	United States
Brown University	32	41.8267718	-71.4025482	United States
Mount Allison University	1	45.8983184	-64.3731004	Canada
University of Louisville	2	38.2122761	-85.75850229999999	United States
Misericordia University	2	41.345197	-75.9707268	United States
University Essex	3	51.87772589999999	0.9472069000000001	United Kingdom
University Calif San Francisco	1	37.7631333	-122.4575489	United States
University St Thomas	1	44.941751	-93.19149089999999	United States
Ghent University	15	51.0465619	3.727918099999999	Belgium
University Turku	1	60.4562974	22.2851138	Finland
Norwegian Defence University College	4			
University of Delaware	5	39.6779504	-75.7506114	United States
North Georgia College And State University	2	34.5278618	-83.9844416	United States
West Texas A And M University	1	34.9829122	-101.9158947	United States
University De Deusto	1	43.2712452	-2.9385576	Spain
Georgia State University	3	33.753068	-84.38528190000001	United States
University of Oxford	11	51.7548164	-1.2543668	United Kingdom
University Fed Espirito Santo	2	-20.2773232	-40.3041868	Brazil
Samford University	1	33.4647494	-86.79363099999999	United States
European University Institute	20	43.803079	11.282959	Italy
Belgium Radboud University of Nijmegen	1			
State University of Rio De Janeiro	2	-22.9111127	-43.2359131	Brazil
Towson University	4	39.3925121	-76.61263919999999	United States
Klagenfurt University Fac Interdisciplinary Studies	1			
University Space Res Assoc	2	29.5875787	-95.1006227	United States
So Oregon University	1	42.1859996	-122.6959071	United States
University Northern British Columbia	1	53.8922014	-122.8133546	Canada
University of Gothenburg	4	57.6981719	11.971878	Sweden
Stirling University	1	56.1459171	-3.918879	United Kingdom
Ces University Coimbra	1	40.2087265	-8.422469699999999	Portugal
Alfarabi Kazakhstan National University	1	43.2252358	76.92191869999999	Kazakhstan
University Oklahoma	5	35.2058936	-97.4457137	United States
Gardnerwebb University	2	35.24756300000001	-81.670737	United States
University So Mississippi	3	31.3303296	-89.3356963	United States
Bocconi University	3	45.4485736	9.189945	Italy
University Oulu	1	65.0593177	25.4662935	Finland
Tokyo Womans Christian University	1	35.7098017	139.5913725	Japan
University Waterloo	2	43.4722854	-80.5448576	Canada
The University of Kansas	2	38.9543439	-95.2557961	United States
Valparaiso University	2	41.4639394	-87.0438894	United States
University Tubingen	3	48.5294782	9.043773999999999	Germany
University Fed Rio De Janeiro	1	-22.9541412	-43.1753638	Brazil
University St Anne	1	44.3326798	-66.1168753	Canada
The University of Durham	2	54.7649859	-1.5782029	United Kingdom
Bradford University	1	53.791435	-1.7661746	United Kingdom
Long Island University	2	40.691148	-73.98079899999999	United States
University Passau	2	48.5670466	13.4517835	Germany
Katholieke Universityersiteit	1	38.9368811	-76.99869199999999	United States
University of Ljubljana	1	46.0491938	14.5041552	Slovenia
Calif Baptist University	1	33.9284067	-117.4255596	United States
University Tromso	1	69.679788	18.9710079	Norway
The University of Calgary	1	51.0781599	-114.1358007	Canada
University of Windsor	1	42.3043138	-83.06603860000001	Canada
University Louisville	2	38.2122761	-85.75850229999999	United States
England University Gottingen	1	51.5464725	9.9436457	Germany
University Str 10	1	47.6059645	-122.3401824	United States
University of Texas At Austin	6	30.2849185	-97.7340567	United States
University of Copenhagen	12	55.6802303	12.5724096	Denmark
United States Manchester Metropolitan University	1	53.4709747	-2.2387641	United Kingdom
University S Australia	1	-34.9201652	138.6066669	Australia
Texas A And M University	3	30.618531	-96.33649899999999	United States
Babes Bolyai University	1	46.7677955	23.5912762	Romania
University Texas Austin	6	30.2849185	-97.7340567	United States
University Wales Coll Cardiff	1	51.4854318	-3.1813842	United Kingdom
University West Georgia	1	33.5735587	-85.1027726	United States
University Portland Salzburg Ctr	1	45.5732046	-122.7275712	United States
Michigan Tech University	1	47.1149065	-88.54530729999999	United States
Tbilisi State University	2	41.7099824	44.7779992	Georgia
University of Californiaberkeley	3	37.8718992	-122.2585399	United States
St Marys Seminary And University	1	39.3603347	-76.6400453	United States
Indiana University Purdue University	1	39.7738832	-86.1763393	United States
University Laval	4	46.78174629999999	-71.2747424	Canada
Umea University	1	63.82054839999999	20.3036711	Sweden
University Hannover	1	52.3829641	9.7196989	Germany
Loughborough University Technol	1	52.769227	-1.224632	United Kingdom
University York	8	53.9455334	-1.0561667	United Kingdom
University Arkansas	2	36.0678324	-94.17365509999999	United States
Case Western Reserve University	7	41.5043413	-81.6083838	United States
Tech University Catalonia	1	41.388004	2.1132804	Spain
University of Manchester	9	53.4668498	-2.2338837	United Kingdom
Groningen University	1	53.2192634	6.562987199999999	Netherlands
University Kent	5	41.1490629	-81.34146489999999	United States
Maastricht University	1	50.8471422	5.686401699999999	Netherlands
California State University Northridge	1	34.2425947	-118.5280687	United States
University Gdansk	2	54.3961355	18.5743202	Poland
University of Leicester	9	52.6211393	-1.1246325	United Kingdom
University Groningen	2	53.2192634	6.562987199999999	Netherlands
France University of California	1	37.8718992	-122.2585399	United States
University of Lancaster	1	54.0103942	-2.7877294	United Kingdom
Utrecht University	3	52.0901527	5.1226018	Netherlands
Brigham Young University	6	40.2518435	-111.6493156	United States
La Sierra University	1	33.909867	-117.494974	United States
University Los Andes	2	31.676046	-106.440804	Mexico
University of Eastern Piedmont	3	45.3276034	8.4244182	Italy
Middle Tennessee State University	3	35.8486105	-86.3648813	United States
Rice University	8	29.7173941	-95.40183119999999	United States
Hebrew University	1.0	31.7945578	35.2414009	
Arizona State University	17	33.6075228	-112.1598496	United States
Fudan University	1	31.2974197	121.5036178	China
Hamline University	1	44.9659651	-93.1648051	United States
Christian University	1	35.6126232	-97.4697937	United States
Washington University In St Louis	1	38.6487895	-90.31079620000001	United States
University Paris 08	1	48.9449361	2.3635622	France
Bitsuniversityersity of Applied Sciences of Iserlohn	1	51.38433999999999	7.71909	Germany
University Complutense Madrid	6	40.4478246	-3.728587199999999	Spain
University of New Hampshire	3	43.138948	-70.9370252	United States
University Wales	3	51.4854318	-3.1813842	United Kingdom
University Kassel	1	51.3227527	9.5075944	Germany
Essex University	2	51.87772589999999	0.9472069000000001	United Kingdom
University Warsaw	1	52.2403463	21.0186012	Poland
Goethe University	5	50.1270675	8.6677635	Germany
Universityersitá Commerciale Luigi Bocconi	1			
John Carroll University	6	41.4905062	-81.5293126	United States
Queens University	26	44.2252795	-76.49514119999999	Canada
University of Cergypontoise	2	49.03907599999999	2.074954	France
University of Wisconsinwhitewater	1	42.83740280000001	-88.7440609	United States
University Adelaide	2	-34.920603	138.6062277	Australia
University Mainz	1	49.9926403	8.241555199999999	Germany
University of Illinois	2	40.1019523	-88.2271615	United States
University Urbino Carlo Bo	1	43.7232326	12.6368523	Italy
Vanderbilt University	17	36.1447034	-86.8026551	United States
University of Perugia	1	43.11654100000001	12.38746	Italy
Plymouth State University	2	43.7595034	-71.68825430000001	United States
University of The Witwatersrand	5	-26.191716	28.032858	South Africa
University of Calgary	4	51.0781599	-114.1358007	Canada
Newcastle University	12	54.9791871	-1.6146608	United Kingdom
University of Southern California	8	34.0223519	-118.285117	United States
Wake Forest University	5	36.1352495	-80.2763425	United States
Columbia University	26	40.8075355	-73.9625727	United States
Ruhr University of Bochum	1	51.44566589999999	7.261609300000001	Germany
Cent European University Budapest	1	47.5005395	19.04958	Hungary
