United States,1390,,N
United Kingdom,646,,E
Canada,339,,N
Germany,319,,E
France,165,,E
Italy,133,,E
Belgium,123,,E
Spain,119,,E
Netherlands,114,,E
Australia,77,,Au
Ireland,73,,E
Switzerland,72,,E
Denmark,64,,E
Austria,52,,E
Norway,43,,E
South Africa,29,,Af
Czech Republic,29,,E
Brazil,27,,A
Sweden,27,,E
Turkey,26,,E
Romania,25,,E
Poland,25,,E
India,24,,
Russia,23,,
Finland,23,,E
Portugal,20,,E
Mexico,20,,A
Japan,18,,
New Zealand,18,,
Slovakia,17,,E
Israel,16,,
Argentina,16,,A
Georgia,15,,E
China,13,,
Greece,13,,E
Taiwan,12,,
Chile,9,,A
Croatia,9,,E
South Korea,6,,
Hungary,6,,E
Singapore,6,,
Cyprus,5,,E
Colombia,5,,A
Iran,4,,
Bosnia and Herzegovina,4,,E
Lithuania,4,,
Dominica,4,,A
Peru,3,,A
Cuba,3,,A
Seychelles,3,,
Slovenia,3,,
Chad,3,,
Malaysia,3,,
Zimbabwe,2,,
Estonia,2,,
United Arab Emirates,2,,
Kazakhstan,2,,
Macedonia,2,,
Morocco,2,,Af
Serbia,2,,
Bolivia,1,,A
Algeria,1,,Af
Angola,1,,Af
Trinidad and Tobago,1,,A
Swaziland,1,,Af
Bahamas,1,,A
Bahrain,1,,Af
Barbados,1,,A
M̩xico,1,,A
Senegal,1,,Af
Ghana,1,,Af
Bulgaria,1,,E
Burma,1,,
Luxembourg,1,,
Jordan,1,,
Costa Rica,1,,A
Jamaica,1,,A
Venezuela,1,,A
Grenada,1,,A
Albania,1,,
