country	number	lat	long	country
Morocco	2	31.791702	-7.092619999999999	Morocco
Sweden	27	60.12816100000001	18.643501	Sweden
Switzerland	72	46.818188	8.227511999999999	Switzerland
Senegal	1	14.497401	-14.452362	Senegal
Bosnia and Herzegovina	4	43.915886	17.679076	Bosnia and Herzegovina
Norway	43	60.47202399999999	8.468945999999999	Norway
Japan	18	36.204824	138.252924	Japan
Luxembourg	1	49.815273	6.129582999999999	Luxembourg
Albania	1	41.153332	20.168331	Albania
M̩xico	1	23.634501	-102.552784	Mexico
Ireland	73.0	53.1423672	-7.692053599999999	
Grenada	1	12.1165	-61.67899999999999	Grenada
Poland	25	51.919438	19.145136	Poland
South Korea	6	35.907757	127.766922	South Korea
Croatia	9			
Netherlands	114	52.132633	5.291265999999999	Netherlands
Russia	23	61.52401	105.318756	Russia
Iran	4	32.427908	53.688046	Iran
Brazil	27	-14.235004	-51.92528	Brazil
Serbia	2	44.016521	21.005859	Serbia
Italy	133	41.87194	12.56738	Italy
Denmark	64	56.26392	9.501785	Denmark
Australia	77	-25.274398	133.775136	Australia
United States	1390	37.09024	-95.712891	United States
Kazakhstan	2	48.019573	66.923684	Kazakhstan
Bahamas	1	25.03428	-77.39627999999999	The Bahamas
Georgia	15	32.1656221	-82.9000751	United States
Swaziland	1	-26.522503	31.465866	Swaziland
Barbados	1	13.193887	-59.543198	Barbados
Romania	25	45.943161	24.96676	Romania
Taiwan, Province of China	12	22.6158015	120.7120023	Taiwan
Seychelles	3	-4.679574	55.491977	Seychelles
Slovakia	17	48.669026	19.699024	Slovakia
Slovenia	3	46.151241	14.995463	Slovenia
Algeria	1	28.033886	1.659626	Algeria
Spain	119	40.46366700000001	-3.74922	Spain
Israel	16	31.046051	34.851612	Israel
Jordan	1	30.585164	36.238414	Jordan
Burma	1	21.916221	95.955974	Myanmar (Burma)
Hungary	6	47.162494	19.5033041	Hungary
Bolivia	1	-16.290154	-63.58865299999999	Bolivia
Bulgaria	1	42.733883	25.48583	Bulgaria
Portugal	20	39.39987199999999	-8.224454	Portugal
Estonia	2	58.595272	25.0136071	Estonia
Germany	319	51.165691	10.451526	Germany
United Arab Emirates	2	23.424076	53.847818	United Arab Emirates
France	165	46.227638	2.213749	France
Ghana	1	7.946527	-1.023194	Ghana
Malaysia	3	4.210484	101.975766	Malaysia
Canada	339	56.130366	-106.346771	Canada
United Kingdom	646	55.378051	-3.435973	United Kingdom
Zimbabwe	2	-19.015438	29.154857	Zimbabwe
Belgium	123			
Czech Republic	29			
Chad	3	15.454166	18.732207	Chad
Austria	52	47.516231	14.550072	Austria
Turkey	26	38.963745	35.243322	Turkey
South Africa	29	-30.559482	22.937506	South Africa
Dominica	4	15.414999	-61.37097600000001	Dominica
Jamaica	1	18.109581	-77.297508	Jamaica
Macedonia	2	41.608635	21.745275	Macedonia (FYROM)
Singapore	6	1.352083	103.819836	Singapore
Angola	1	-11.202692	17.873887	Angola
Argentina	16	-38.416097	-63.61667199999999	Argentina
Peru	3	-9.189967	-75.015152	Peru
China	13	35.86166	104.195397	China
Finland	23	61.92410999999999	25.7481511	Finland
India	24	20.593684	78.96288	India
Trinidad and Tobago	1	10.691803	-61.222503	Trinidad and Tobago
Mexico	20	23.634501	-102.552784	Mexico
Lithuania	4	55.169438	23.881275	Lithuania
Venezuela, Bolivarian Republic of	1	6.42375	-66.58973	Venezuela
Cuba	3	21.521757	-77.781167	Cuba
Costa Rica	1	9.748916999999999	-83.753428	Costa Rica
Cyprus	5	35.126413	33.429859	Cyprus
Greece	13	39.074208	21.824312	Greece
Colombia	5	4.570868	-74.297333	Colombia
Bahrain	1	26.0667	50.5577	Bahrain
Chile	9	-35.675147	-71.542969	Chile
New Zealand	18	-40.900557	174.885971	New Zealand
